,TIME,GEO,ICCS,UNIT,Value
47,2008,Denmark,Theft,Per hundred thousand inhabitants,3814.39
48,2008,Germany (until 1990 former territory of the FRG),Intentional homicide,Number,656.0
49,2008,Germany (until 1990 former territory of the FRG),Intentional homicide,Per hundred thousand inhabitants,0.8
50,2008,Germany (until 1990 former territory of the FRG),Assault,Number,518499.0
51,2008,Germany (until 1990 former territory of the FRG),Assault,Per hundred thousand inhabitants,630.64
52,2008,Germany (until 1990 former territory of the FRG),Sexual violence,Number,56784.0
53,2008,Germany (until 1990 former territory of the FRG),Sexual violence,Per hundred thousand inhabitants,69.07
54,2008,Germany (until 1990 former territory of the FRG),Rape,Number,7292.0
55,2008,Germany (until 1990 former territory of the FRG),Rape,Per hundred thousand inhabitants,8.87
56,2008,Germany (until 1990 former territory of the FRG),Sexual assault,Number,49492.0
57,2008,Germany (until 1990 former territory of the FRG),Sexual assault,Per hundred thousand inhabitants,60.2
58,2008,Germany (until 1990 former territory of the FRG),Theft,Number,2052913.0
59,2008,Germany (until 1990 former territory of the FRG),Theft,Per hundred thousand inhabitants,2496.92
60,2008,Estonia,Intentional homicide,Number,84.0
61,2008,Estonia,Intentional homicide,Per hundred thousand inhabitants,6.28
62,2008,Estonia,Assault,Number,140.0
63,2008,Estonia,Assault,Per hundred thousand inhabitants,10.46
64,2008,Estonia,Sexual violence,Number,268.0
65,2008,Estonia,Sexual violence,Per hundred thousand inhabitants,20.02
66,2008,Estonia,Rape,Number,160.0
67,2008,Estonia,Rape,Per hundred thousand inhabitants,11.95
68,2008,Estonia,Sexual assault,Number,108.0
69,2008,Estonia,Sexual assault,Per hundred thousand inhabitants,8.07
70,2008,Estonia,Theft,Number,23506.0
71,2008,Estonia,Theft,Per hundred thousand inhabitants,1756.22
72,2008,Ireland,Intentional homicide,Number,89.0
73,2008,Ireland,Intentional homicide,Per hundred thousand inhabitants,2.0
74,2008,Ireland,Assault,Number,16186.0
75,2008,Ireland,Assault,Per hundred thousand inhabitants,363.1
76,2008,Ireland,Sexual violence,Number,1251.0
77,2008,Ireland,Sexual violence,Per hundred thousand inhabitants,28.06
78,2008,Ireland,Rape,Number,348.0
79,2008,Ireland,Rape,Per hundred thousand inhabitants,7.81
80,2008,Ireland,Sexual assault,Number,903.0
81,2008,Ireland,Sexual assault,Per hundred thousand inhabitants,20.26
82,2008,Ireland,Theft,Number,76861.0
83,2008,Ireland,Theft,Per hundred thousand inhabitants,1724.2
84,2008,Greece,Intentional homicide,Number,139.0
85,2008,Greece,Intentional homicide,Per hundred thousand inhabitants,1.24
86,2008,Greece,Assault,Number,8008.0
87,2008,Greece,Assault,Per hundred thousand inhabitants,71.61
88,2008,Greece,Sexual violence,Number,682.0
89,2008,Greece,Sexual violence,Per hundred thousand inhabitants,6.1
90,2008,Greece,Rape,Number,232.0
91,2008,Greece,Rape,Per hundred thousand inhabitants,2.07
92,2008,Greece,Sexual assault,Number,450.0
93,2008,Greece,Sexual assault,Per hundred thousand inhabitants,4.02
94,2008,Greece,Theft,Number,114900.0
95,2008,Greece,Theft,Per hundred thousand inhabitants,1038.79
96,2008,Spain,Intentional homicide,Number,407.0
97,2008,Spain,Intentional homicide,Per hundred thousand inhabitants,0.89
98,2008,Spain,Assault,Number,72803.0
99,2008,Spain,Assault,Per hundred thousand inhabitants,159.41
100,2008,Spain,Sexual violence,Number,10888.0
101,2008,Spain,Sexual violence,Per hundred thousand inhabitants,23.84
102,2008,Spain,Rape,Number,2437.0
103,2008,Spain,Rape,Per hundred thousand inhabitants,5.34
104,2008,Spain,Sexual assault,Number,8451.0
105,2008,Spain,Sexual assault,Per hundred thousand inhabitants,18.5
106,2008,Spain,Theft,Number,237525.0
107,2008,Spain,Theft,Per hundred thousand inhabitants,520.1
108,2008,France,Intentional homicide,Number,1021.0
109,2008,France,Intentional homicide,Per hundred thousand inhabitants,1.6
110,2008,France,Assault,Number,187937.0
111,2008,France,Assault,Per hundred thousand inhabitants,293.62
112,2008,France,Sexual violence,Number,24031.0
113,2008,France,Sexual violence,Per hundred thousand inhabitants,37.54
114,2008,France,Rape,Number,10277.0
115,2008,France,Rape,Per hundred thousand inhabitants,16.06
116,2008,France,Sexual assault,Number,13754.0
117,2008,France,Sexual assault,Per hundred thousand inhabitants,21.49
118,2008,France,Theft,Number,962583.0
119,2008,France,Theft,Per hundred thousand inhabitants,1503.87
120,2008,Croatia,Intentional homicide,Number,71.0
121,2008,Croatia,Intentional homicide,Per hundred thousand inhabitants,1.65
122,2008,Croatia,Assault,Number,1128.0
123,2008,Croatia,Assault,Per hundred thousand inhabitants,26.16
124,2008,Croatia,Sexual violence,Number,765.0
125,2008,Croatia,Sexual violence,Per hundred thousand inhabitants,17.74
126,2008,Croatia,Rape,Number,188.0
127,2008,Croatia,Rape,Per hundred thousand inhabitants,4.36
128,2008,Croatia,Sexual assault,Number,577.0
129,2008,Croatia,Sexual assault,Per hundred thousand inhabitants,13.38
130,2008,Croatia,Theft,Number,15300.0
131,2008,Croatia,Theft,Per hundred thousand inhabitants,354.83
132,2008,Italy,Intentional homicide,Number,615.0
133,2008,Italy,Intentional homicide,Per hundred thousand inhabitants,1.05
134,2008,Italy,Assault,Number,65791.0
135,2008,Italy,Assault,Per hundred thousand inhabitants,112.17
136,2008,Italy,Sexual violence,Number,
137,2008,Italy,Sexual violence,Per hundred thousand inhabitants,
138,2008,Italy,Rape,Number,
139,2008,Italy,Rape,Per hundred thousand inhabitants,
140,2008,Italy,Sexual assault,Number,4893.0
141,2008,Italy,Sexual assault,Per hundred thousand inhabitants,8.34
142,2008,Italy,Theft,Number,1223105.0
143,2008,Italy,Theft,Per hundred thousand inhabitants,2085.33
144,2008,Cyprus,Intentional homicide,Number,9.0
145,2008,Cyprus,Intentional homicide,Per hundred thousand inhabitants,1.16
146,2008,Cyprus,Assault,Number,167.0
147,2008,Cyprus,Assault,Per hundred thousand inhabitants,21.51
148,2008,Cyprus,Sexual violence,Number,97.0
149,2008,Cyprus,Sexual violence,Per hundred thousand inhabitants,12.49
150,2008,Cyprus,Rape,Number,34.0
151,2008,Cyprus,Rape,Per hundred thousand inhabitants,4.38
152,2008,Cyprus,Sexual assault,Number,63.0
153,2008,Cyprus,Sexual assault,Per hundred thousand inhabitants,8.12
154,2008,Cyprus,Theft,Number,3191.0
155,2008,Cyprus,Theft,Per hundred thousand inhabitants,411.03
156,2008,Latvia,Intentional homicide,Number,99.0
157,2008,Latvia,Intentional homicide,Per hundred thousand inhabitants,4.52
158,2008,Latvia,Assault,Number,1346.0
159,2008,Latvia,Assault,Per hundred thousand inhabitants,61.41
160,2008,Latvia,Sexual violence,Number,
161,2008,Latvia,Sexual violence,Per hundred thousand inhabitants,
162,2008,Latvia,Rape,Number,100.0
163,2008,Latvia,Rape,Per hundred thousand inhabitants,4.56
164,2008,Latvia,Sexual assault,Number,
165,2008,Latvia,Sexual assault,Per hundred thousand inhabitants,
166,2008,Latvia,Theft,Number,25844.0
167,2008,Latvia,Theft,Per hundred thousand inhabitants,1179.12
168,2008,Lithuania,Intentional homicide,Number,286.0
169,2008,Lithuania,Intentional homicide,Per hundred thousand inhabitants,8.9
170,2008,Lithuania,Assault,Number,251.0
171,2008,Lithuania,Assault,Per hundred thousand inhabitants,7.81
172,2008,Lithuania,Sexual violence,Number,368.0
173,2008,Lithuania,Sexual violence,Per hundred thousand inhabitants,11.45
174,2008,Lithuania,Rape,Number,164.0
175,2008,Lithuania,Rape,Per hundred thousand inhabitants,5.1
176,2008,Lithuania,Sexual assault,Number,204.0
177,2008,Lithuania,Sexual assault,Per hundred thousand inhabitants,6.35
178,2008,Lithuania,Theft,Number,29610.0
179,2008,Lithuania,Theft,Per hundred thousand inhabitants,921.68
180,2008,Luxembourg,Intentional homicide,Number,7.0
181,2008,Luxembourg,Intentional homicide,Per hundred thousand inhabitants,1.45
182,2008,Luxembourg,Assault,Number,2317.0
183,2008,Luxembourg,Assault,Per hundred thousand inhabitants,478.92
184,2008,Luxembourg,Sexual violence,Number,
185,2008,Luxembourg,Sexual violence,Per hundred thousand inhabitants,
186,2008,Luxembourg,Rape,Number,57.0
187,2008,Luxembourg,Rape,Per hundred thousand inhabitants,11.78
188,2008,Luxembourg,Sexual assault,Number,
189,2008,Luxembourg,Sexual assault,Per hundred thousand inhabitants,
190,2008,Luxembourg,Theft,Number,7021.0
191,2008,Luxembourg,Theft,Per hundred thousand inhabitants,1451.22
192,2008,Hungary,Intentional homicide,Number,147.0
193,2008,Hungary,Intentional homicide,Per hundred thousand inhabitants,1.46
194,2008,Hungary,Assault,Number,12757.0
195,2008,Hungary,Assault,Per hundred thousand inhabitants,126.99
196,2008,Hungary,Sexual violence,Number,464.0
197,2008,Hungary,Sexual violence,Per hundred thousand inhabitants,4.62
198,2008,Hungary,Rape,Number,214.0
199,2008,Hungary,Rape,Per hundred thousand inhabitants,2.13
200,2008,Hungary,Sexual assault,Number,250.0
201,2008,Hungary,Sexual assault,Per hundred thousand inhabitants,2.49
202,2008,Hungary,Theft,Number,127125.0
203,2008,Hungary,Theft,Per hundred thousand inhabitants,1265.5
204,2008,Malta,Intentional homicide,Number,6.0
205,2008,Malta,Intentional homicide,Per hundred thousand inhabitants,1.47
206,2008,Malta,Assault,Number,196.0
207,2008,Malta,Assault,Per hundred thousand inhabitants,48.06
208,2008,Malta,Sexual violence,Number,80.0
209,2008,Malta,Sexual violence,Per hundred thousand inhabitants,19.62
210,2008,Malta,Rape,Number,19.0
211,2008,Malta,Rape,Per hundred thousand inhabitants,4.66
212,2008,Malta,Sexual assault,Number,61.0
213,2008,Malta,Sexual assault,Per hundred thousand inhabitants,14.96
214,2008,Malta,Theft,Number,8525.0
215,2008,Malta,Theft,Per hundred thousand inhabitants,2090.32
216,2008,Netherlands,Intentional homicide,Number,150.0
217,2008,Netherlands,Intentional homicide,Per hundred thousand inhabitants,0.91
218,2008,Netherlands,Assault,Number,69005.0
219,2008,Netherlands,Assault,Per hundred thousand inhabitants,420.62
220,2008,Netherlands,Sexual violence,Number,10495.0
221,2008,Netherlands,Sexual violence,Per hundred thousand inhabitants,63.97
222,2008,Netherlands,Rape,Number,1945.0
223,2008,Netherlands,Rape,Per hundred thousand inhabitants,11.86
224,2008,Netherlands,Sexual assault,Number,8550.0
225,2008,Netherlands,Sexual assault,Per hundred thousand inhabitants,52.12
226,2008,Netherlands,Theft,Number,704160.0
227,2008,Netherlands,Theft,Per hundred thousand inhabitants,4292.25
228,2008,Austria,Intentional homicide,Number,58.0
229,2008,Austria,Intentional homicide,Per hundred thousand inhabitants,0.7
230,2008,Austria,Assault,Number,3945.0
231,2008,Austria,Assault,Per hundred thousand inhabitants,47.48
232,2008,Austria,Sexual violence,Number,4185.0
233,2008,Austria,Sexual violence,Per hundred thousand inhabitants,50.37
234,2008,Austria,Rape,Number,693.0
235,2008,Austria,Rape,Per hundred thousand inhabitants,8.34
236,2008,Austria,Sexual assault,Number,3492.0
237,2008,Austria,Sexual assault,Per hundred thousand inhabitants,42.03
238,2008,Austria,Theft,Number,174008.0
239,2008,Austria,Theft,Per hundred thousand inhabitants,2094.47
240,2008,Poland,Intentional homicide,Number,460.0
241,2008,Poland,Intentional homicide,Per hundred thousand inhabitants,1.21
242,2008,Poland,Assault,Number,
243,2008,Poland,Assault,Per hundred thousand inhabitants,
244,2008,Poland,Sexual violence,Number,
245,2008,Poland,Sexual violence,Per hundred thousand inhabitants,
246,2008,Poland,Rape,Number,1611.0
247,2008,Poland,Rape,Per hundred thousand inhabitants,4.23
248,2008,Poland,Sexual assault,Number,
249,2008,Poland,Sexual assault,Per hundred thousand inhabitants,
250,2008,Poland,Theft,Number,214414.0
251,2008,Poland,Theft,Per hundred thousand inhabitants,562.54
252,2008,Portugal,Intentional homicide,Number,124.0
253,2008,Portugal,Intentional homicide,Per hundred thousand inhabitants,1.17
254,2008,Portugal,Assault,Number,33494.0
255,2008,Portugal,Assault,Per hundred thousand inhabitants,317.38
256,2008,Portugal,Sexual violence,Number,2251.0
257,2008,Portugal,Sexual violence,Per hundred thousand inhabitants,21.33
258,2008,Portugal,Rape,Number,314.0
259,2008,Portugal,Rape,Per hundred thousand inhabitants,2.98
260,2008,Portugal,Sexual assault,Number,1937.0
261,2008,Portugal,Sexual assault,Per hundred thousand inhabitants,18.35
262,2008,Portugal,Theft,Number,126956.0
263,2008,Portugal,Theft,Per hundred thousand inhabitants,1202.99
264,2008,Romania,Intentional homicide,Number,470.0
265,2008,Romania,Intentional homicide,Per hundred thousand inhabitants,2.28
266,2008,Romania,Assault,Number,9457.0
267,2008,Romania,Assault,Per hundred thousand inhabitants,45.83
268,2008,Romania,Sexual violence,Number,1566.0
269,2008,Romania,Sexual violence,Per hundred thousand inhabitants,7.59
270,2008,Romania,Rape,Number,1016.0
271,2008,Romania,Rape,Per hundred thousand inhabitants,4.92
272,2008,Romania,Sexual assault,Number,550.0
273,2008,Romania,Sexual assault,Per hundred thousand inhabitants,2.67
274,2008,Romania,Theft,Number,41874.0
275,2008,Romania,Theft,Per hundred thousand inhabitants,202.92
276,2008,Slovenia,Intentional homicide,Number,11.0
277,2008,Slovenia,Intentional homicide,Per hundred thousand inhabitants,0.55
278,2008,Slovenia,Assault,Number,2135.0
279,2008,Slovenia,Assault,Per hundred thousand inhabitants,106.2
280,2008,Slovenia,Sexual violence,Number,383.0
281,2008,Slovenia,Sexual violence,Per hundred thousand inhabitants,19.05
282,2008,Slovenia,Rape,Number,57.0
283,2008,Slovenia,Rape,Per hundred thousand inhabitants,2.84
284,2008,Slovenia,Sexual assault,Number,326.0
285,2008,Slovenia,Sexual assault,Per hundred thousand inhabitants,16.22
286,2008,Slovenia,Theft,Number,28765.0
287,2008,Slovenia,Theft,Per hundred thousand inhabitants,1430.9
288,2008,Slovakia,Intentional homicide,Number,94.0
289,2008,Slovakia,Intentional homicide,Per hundred thousand inhabitants,1.75
290,2008,Slovakia,Assault,Number,2702.0
291,2008,Slovakia,Assault,Per hundred thousand inhabitants,50.26
292,2008,Slovakia,Sexual violence,Number,
293,2008,Slovakia,Sexual violence,Per hundred thousand inhabitants,
294,2008,Slovakia,Rape,Number,152.0
295,2008,Slovakia,Rape,Per hundred thousand inhabitants,2.83
296,2008,Slovakia,Sexual assault,Number,
297,2008,Slovakia,Sexual assault,Per hundred thousand inhabitants,
298,2008,Slovakia,Theft,Number,33743.0
299,2008,Slovakia,Theft,Per hundred thousand inhabitants,627.65
300,2008,Finland,Intentional homicide,Number,133.0
301,2008,Finland,Intentional homicide,Per hundred thousand inhabitants,2.51
302,2008,Finland,Assault,Number,34778.0
303,2008,Finland,Assault,Per hundred thousand inhabitants,656.13
304,2008,Finland,Sexual violence,Number,1585.0
305,2008,Finland,Sexual violence,Per hundred thousand inhabitants,29.9
306,2008,Finland,Rape,Number,915.0
307,2008,Finland,Rape,Per hundred thousand inhabitants,17.26
308,2008,Finland,Sexual assault,Number,670.0
309,2008,Finland,Sexual assault,Per hundred thousand inhabitants,12.64
310,2008,Finland,Theft,Number,134018.0
311,2008,Finland,Theft,Per hundred thousand inhabitants,2528.41
312,2008,Sweden,Intentional homicide,Number,82.0
313,2008,Sweden,Intentional homicide,Per hundred thousand inhabitants,0.89
314,2008,Sweden,Assault,Number,84566.0
315,2008,Sweden,Assault,Per hundred thousand inhabitants,920.9
316,2008,Sweden,Sexual violence,Number,14058.0
317,2008,Sweden,Sexual violence,Per hundred thousand inhabitants,153.09
318,2008,Sweden,Rape,Number,4901.0
319,2008,Sweden,Rape,Per hundred thousand inhabitants,53.37
320,2008,Sweden,Sexual assault,Number,9157.0
321,2008,Sweden,Sexual assault,Per hundred thousand inhabitants,99.72
322,2008,Sweden,Theft,Number,436446.0
323,2008,Sweden,Theft,Per hundred thousand inhabitants,4752.8
324,2008,England and Wales,Intentional homicide,Number,638.0
325,2008,England and Wales,Intentional homicide,Per hundred thousand inhabitants,1.17
326,2008,England and Wales,Assault,Number,419119.0
327,2008,England and Wales,Assault,Per hundred thousand inhabitants,767.4
328,2008,England and Wales,Sexual violence,Number,35310.0
329,2008,England and Wales,Sexual violence,Per hundred thousand inhabitants,64.65
330,2008,England and Wales,Rape,Number,13096.0
331,2008,England and Wales,Rape,Per hundred thousand inhabitants,23.98
332,2008,England and Wales,Sexual assault,Number,22214.0
333,2008,England and Wales,Sexual assault,Per hundred thousand inhabitants,40.67
334,2008,England and Wales,Theft,Number,1592758.0
335,2008,England and Wales,Theft,Per hundred thousand inhabitants,2916.32
336,2008,Scotland,Intentional homicide,Number,95.0
337,2008,Scotland,Intentional homicide,Per hundred thousand inhabitants,1.83
338,2008,Scotland,Assault,Number,79892.0
339,2008,Scotland,Assault,Per hundred thousand inhabitants,1540.54
340,2008,Scotland,Sexual violence,Number,4118.0
341,2008,Scotland,Sexual violence,Per hundred thousand inhabitants,79.41
342,2008,Scotland,Rape,Number,821.0
343,2008,Scotland,Rape,Per hundred thousand inhabitants,15.83
344,2008,Scotland,Sexual assault,Number,3297.0
345,2008,Scotland,Sexual assault,Per hundred thousand inhabitants,63.58
346,2008,Scotland,Theft,Number,117033.0
347,2008,Scotland,Theft,Per hundred thousand inhabitants,2256.72
348,2008,Northern Ireland (UK),Intentional homicide,Number,24.0
349,2008,Northern Ireland (UK),Intentional homicide,Per hundred thousand inhabitants,1.36
350,2008,Northern Ireland (UK),Assault,Number,1549.0
351,2008,Northern Ireland (UK),Assault,Per hundred thousand inhabitants,87.5
352,2008,Northern Ireland (UK),Sexual violence,Number,1777.0
353,2008,Northern Ireland (UK),Sexual violence,Per hundred thousand inhabitants,100.37
354,2008,Northern Ireland (UK),Rape,Number,368.0
355,2008,Northern Ireland (UK),Rape,Per hundred thousand inhabitants,20.79
356,2008,Northern Ireland (UK),Sexual assault,Number,1409.0
357,2008,Northern Ireland (UK),Sexual assault,Per hundred thousand inhabitants,79.59
358,2008,Northern Ireland (UK),Theft,Number,24380.0
359,2008,Northern Ireland (UK),Theft,Per hundred thousand inhabitants,1377.12
360,2008,Iceland,Intentional homicide,Number,0.0
361,2008,Iceland,Intentional homicide,Per hundred thousand inhabitants,0.0
362,2008,Iceland,Assault,Number,77.0
363,2008,Iceland,Assault,Per hundred thousand inhabitants,24.41
364,2008,Iceland,Sexual violence,Number,
365,2008,Iceland,Sexual violence,Per hundred thousand inhabitants,
366,2008,Iceland,Rape,Number,68.0
367,2008,Iceland,Rape,Per hundred thousand inhabitants,21.56
368,2008,Iceland,Sexual assault,Number,
369,2008,Iceland,Sexual assault,Per hundred thousand inhabitants,
370,2008,Iceland,Theft,Number,4718.0
371,2008,Iceland,Theft,Per hundred thousand inhabitants,1495.6
372,2008,Liechtenstein,Intentional homicide,Number,1.0
373,2008,Liechtenstein,Intentional homicide,Per hundred thousand inhabitants,2.83
374,2008,Liechtenstein,Assault,Number,88.0
375,2008,Liechtenstein,Assault,Per hundred thousand inhabitants,248.9
376,2008,Liechtenstein,Sexual violence,Number,
377,2008,Liechtenstein,Sexual violence,Per hundred thousand inhabitants,
378,2008,Liechtenstein,Rape,Number,3.0
379,2008,Liechtenstein,Rape,Per hundred thousand inhabitants,8.49
380,2008,Liechtenstein,Sexual assault,Number,
381,2008,Liechtenstein,Sexual assault,Per hundred thousand inhabitants,
382,2008,Liechtenstein,Theft,Number,178.0
383,2008,Liechtenstein,Theft,Per hundred thousand inhabitants,503.45
384,2008,Norway,Intentional homicide,Number,34.0
385,2008,Norway,Intentional homicide,Per hundred thousand inhabitants,0.72
386,2008,Norway,Assault,Number,3279.0
387,2008,Norway,Assault,Per hundred thousand inhabitants,69.22
388,2008,Norway,Sexual violence,Number,2296.0
389,2008,Norway,Sexual violence,Per hundred thousand inhabitants,48.47
390,2008,Norway,Rape,Number,944.0
391,2008,Norway,Rape,Per hundred thousand inhabitants,19.93
392,2008,Norway,Sexual assault,Number,1352.0
393,2008,Norway,Sexual assault,Per hundred thousand inhabitants,28.54
394,2008,Norway,Theft,Number,138083.0
395,2008,Norway,Theft,Per hundred thousand inhabitants,2914.88
396,2008,Switzerland,Intentional homicide,Number,54.0
397,2008,Switzerland,Intentional homicide,Per hundred thousand inhabitants,0.71
398,2008,Switzerland,Assault,Number,8893.0
399,2008,Switzerland,Assault,Per hundred thousand inhabitants,117.11
400,2008,Switzerland,Sexual violence,Number,
401,2008,Switzerland,Sexual violence,Per hundred thousand inhabitants,
402,2008,Switzerland,Rape,Number,612.0
403,2008,Switzerland,Rape,Per hundred thousand inhabitants,8.06
404,2008,Switzerland,Sexual assault,Number,
405,2008,Switzerland,Sexual assault,Per hundred thousand inhabitants,
406,2008,Switzerland,Theft,Number,120817.0
407,2008,Switzerland,Theft,Per hundred thousand inhabitants,1591.06
408,2008,Montenegro,Intentional homicide,Number,22.0
409,2008,Montenegro,Intentional homicide,Per hundred thousand inhabitants,3.57
410,2008,Montenegro,Assault,Number,196.0
411,2008,Montenegro,Assault,Per hundred thousand inhabitants,31.84
412,2008,Montenegro,Sexual violence,Number,40.0
413,2008,Montenegro,Sexual violence,Per hundred thousand inhabitants,6.5
414,2008,Montenegro,Rape,Number,17.0
415,2008,Montenegro,Rape,Per hundred thousand inhabitants,2.76
416,2008,Montenegro,Sexual assault,Number,23.0
417,2008,Montenegro,Sexual assault,Per hundred thousand inhabitants,3.74
418,2008,Montenegro,Theft,Number,794.0
419,2008,Montenegro,Theft,Per hundred thousand inhabitants,128.99
420,2008,"Former Yugoslav Republic of Macedonia, the",Intentional homicide,Number,35.0
421,2008,"Former Yugoslav Republic of Macedonia, the",Intentional homicide,Per hundred thousand inhabitants,1.71
422,2008,"Former Yugoslav Republic of Macedonia, the",Assault,Number,213.0
423,2008,"Former Yugoslav Republic of Macedonia, the",Assault,Per hundred thousand inhabitants,10.41
424,2008,"Former Yugoslav Republic of Macedonia, the",Sexual violence,Number,
425,2008,"Former Yugoslav Republic of Macedonia, the",Sexual violence,Per hundred thousand inhabitants,
426,2008,"Former Yugoslav Republic of Macedonia, the",Rape,Number,41.0
427,2008,"Former Yugoslav Republic of Macedonia, the",Rape,Per hundred thousand inhabitants,2.0
428,2008,"Former Yugoslav Republic of Macedonia, the",Sexual assault,Number,
429,2008,"Former Yugoslav Republic of Macedonia, the",Sexual assault,Per hundred thousand inhabitants,
430,2008,"Former Yugoslav Republic of Macedonia, the",Theft,Number,6627.0
431,2008,"Former Yugoslav Republic of Macedonia, the",Theft,Per hundred thousand inhabitants,324.03
432,2008,Albania,Intentional homicide,Number,88.0
433,2008,Albania,Intentional homicide,Per hundred thousand inhabitants,2.78
434,2008,Albania,Assault,Number,363.0
435,2008,Albania,Assault,Per hundred thousand inhabitants,11.45
436,2008,Albania,Sexual violence,Number,57.0
437,2008,Albania,Sexual violence,Per hundred thousand inhabitants,1.8
438,2008,Albania,Rape,Number,39.0
439,2008,Albania,Rape,Per hundred thousand inhabitants,1.23
440,2008,Albania,Sexual assault,Number,18.0
441,2008,Albania,Sexual assault,Per hundred thousand inhabitants,0.57
442,2008,Albania,Theft,Number,3596.0
443,2008,Albania,Theft,Per hundred thousand inhabitants,100.88
444,2008,Serbia,Intentional homicide,Number,128.0
445,2008,Serbia,Intentional homicide,Per hundred thousand inhabitants,1.74
446,2008,Serbia,Assault,Number,1582.0
447,2008,Serbia,Assault,Per hundred thousand inhabitants,21.48
448,2008,Serbia,Sexual violence,Number,400.0
449,2008,Serbia,Sexual violence,Per hundred thousand inhabitants,5.43
450,2008,Serbia,Rape,Number,123.0
451,2008,Serbia,Rape,Per hundred thousand inhabitants,1.67
452,2008,Serbia,Sexual assault,Number,277.0
453,2008,Serbia,Sexual assault,Per hundred thousand inhabitants,3.76
454,2008,Serbia,Theft,Number,19863.0
455,2008,Serbia,Theft,Per hundred thousand inhabitants,269.68
456,2008,Turkey,Intentional homicide,Number,
457,2008,Turkey,Intentional homicide,Per hundred thousand inhabitants,
458,2008,Turkey,Assault,Number,
459,2008,Turkey,Assault,Per hundred thousand inhabitants,
460,2008,Turkey,Sexual violence,Number,
461,2008,Turkey,Sexual violence,Per hundred thousand inhabitants,
462,2008,Turkey,Rape,Number,
463,2008,Turkey,Rape,Per hundred thousand inhabitants,
464,2008,Turkey,Sexual assault,Number,
465,2008,Turkey,Sexual assault,Per hundred thousand inhabitants,
466,2008,Turkey,Theft,Number,
467,2008,Turkey,Theft,Per hundred thousand inhabitants,
468,2008,Bosnia and Herzegovina,Intentional homicide,Number,66.0
469,2008,Bosnia and Herzegovina,Intentional homicide,Per hundred thousand inhabitants,1.72
470,2008,Bosnia and Herzegovina,Assault,Number,1474.0
471,2008,Bosnia and Herzegovina,Assault,Per hundred thousand inhabitants,38.35
472,2008,Bosnia and Herzegovina,Sexual violence,Number,
473,2008,Bosnia and Herzegovina,Sexual violence,Per hundred thousand inhabitants,
474,2008,Bosnia and Herzegovina,Rape,Number,35.0
475,2008,Bosnia and Herzegovina,Rape,Per hundred thousand inhabitants,0.91
476,2008,Bosnia and Herzegovina,Sexual assault,Number,
