,TIME,GEO,UNIT,INDIC_NA,Value
52,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5500.0
53,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS) per inhabitant,External balance of goods and services,300.0
54,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
55,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Percentage of gross domestic product (GDP),Gross fixed capital formation,21.3
56,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Percentage of gross domestic product (GDP),External balance of goods and services,1.2
57,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,109.7
58,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,113.0
59,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,287.1
60,2006,Euro area (18 countries),Million euro,Gross domestic product at market prices,8580205.1
61,2006,Euro area (18 countries),Million euro,Gross fixed capital formation,1832113.4
62,2006,Euro area (18 countries),Million euro,External balance of goods and services,93483.6
63,2006,Euro area (18 countries),Euro per inhabitant,Gross domestic product at market prices,26200.0
64,2006,Euro area (18 countries),Euro per inhabitant,Gross fixed capital formation,5600.0
65,2006,Euro area (18 countries),Euro per inhabitant,External balance of goods and services,300.0
66,2006,Euro area (18 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,25700.0
67,2006,Euro area (18 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5500.0
68,2006,Euro area (18 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,300.0
69,2006,Euro area (18 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
70,2006,Euro area (18 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,21.4
71,2006,Euro area (18 countries),Percentage of gross domestic product (GDP),External balance of goods and services,1.1
72,2006,Euro area (18 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,108.2
73,2006,Euro area (18 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,111.9
74,2006,Euro area (18 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,258.1
75,2006,Euro area (17 countries),Million euro,Gross domestic product at market prices,8564223.2
76,2006,Euro area (17 countries),Million euro,Gross fixed capital formation,1826847.8
77,2006,Euro area (17 countries),Million euro,External balance of goods and services,96928.0
78,2006,Euro area (17 countries),Euro per inhabitant,Gross domestic product at market prices,26300.0
79,2006,Euro area (17 countries),Euro per inhabitant,Gross fixed capital formation,5600.0
80,2006,Euro area (17 countries),Euro per inhabitant,External balance of goods and services,300.0
81,2006,Euro area (17 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,25700.0
82,2006,Euro area (17 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5500.0
83,2006,Euro area (17 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,300.0
84,2006,Euro area (17 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
85,2006,Euro area (17 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,21.3
86,2006,Euro area (17 countries),Percentage of gross domestic product (GDP),External balance of goods and services,1.1
87,2006,Euro area (17 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,108.6
88,2006,Euro area (17 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,112.2
89,2006,Euro area (17 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,269.0
90,2006,Euro area (16 countries),Million euro,Gross domestic product at market prices,
91,2006,Euro area (16 countries),Million euro,Gross fixed capital formation,
92,2006,Euro area (16 countries),Million euro,External balance of goods and services,
93,2006,Euro area (16 countries),Euro per inhabitant,Gross domestic product at market prices,
94,2006,Euro area (16 countries),Euro per inhabitant,Gross fixed capital formation,
95,2006,Euro area (16 countries),Euro per inhabitant,External balance of goods and services,
96,2006,Euro area (16 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,
97,2006,Euro area (16 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,
98,2006,Euro area (16 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,
99,2006,Euro area (16 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,
100,2006,Euro area (16 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,
101,2006,Euro area (16 countries),Percentage of gross domestic product (GDP),External balance of goods and services,
102,2006,Euro area (16 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,
103,2006,Euro area (16 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,
104,2006,Euro area (16 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,
105,2006,Euro area (15 countries),Million euro,Gross domestic product at market prices,
106,2006,Euro area (15 countries),Million euro,Gross fixed capital formation,
107,2006,Euro area (15 countries),Million euro,External balance of goods and services,
108,2006,Euro area (15 countries),Euro per inhabitant,Gross domestic product at market prices,
109,2006,Euro area (15 countries),Euro per inhabitant,Gross fixed capital formation,
110,2006,Euro area (15 countries),Euro per inhabitant,External balance of goods and services,
111,2006,Euro area (15 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,
112,2006,Euro area (15 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,
113,2006,Euro area (15 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,
114,2006,Euro area (15 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,
115,2006,Euro area (15 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,
116,2006,Euro area (15 countries),Percentage of gross domestic product (GDP),External balance of goods and services,
117,2006,Euro area (15 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,
118,2006,Euro area (15 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,
119,2006,Euro area (15 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,
120,2006,Euro area (13 countries),Million euro,Gross domestic product at market prices,
121,2006,Euro area (13 countries),Million euro,Gross fixed capital formation,
122,2006,Euro area (13 countries),Million euro,External balance of goods and services,
123,2006,Euro area (13 countries),Euro per inhabitant,Gross domestic product at market prices,
124,2006,Euro area (13 countries),Euro per inhabitant,Gross fixed capital formation,
125,2006,Euro area (13 countries),Euro per inhabitant,External balance of goods and services,
126,2006,Euro area (13 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,
127,2006,Euro area (13 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,
128,2006,Euro area (13 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,
129,2006,Euro area (13 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,
130,2006,Euro area (13 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,
131,2006,Euro area (13 countries),Percentage of gross domestic product (GDP),External balance of goods and services,
132,2006,Euro area (13 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,
133,2006,Euro area (13 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,
134,2006,Euro area (13 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,
135,2006,Euro area (12 countries),Million euro,Gross domestic product at market prices,8455402.9
136,2006,Euro area (12 countries),Million euro,Gross fixed capital formation,1797859.2
137,2006,Euro area (12 countries),Million euro,External balance of goods and services,101047.2
138,2006,Euro area (12 countries),Euro per inhabitant,Gross domestic product at market prices,26800.0
139,2006,Euro area (12 countries),Euro per inhabitant,Gross fixed capital formation,5700.0
140,2006,Euro area (12 countries),Euro per inhabitant,External balance of goods and services,300.0
141,2006,Euro area (12 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,26000.0
142,2006,Euro area (12 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5500.0
143,2006,Euro area (12 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,300.0
144,2006,Euro area (12 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
145,2006,Euro area (12 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,21.3
146,2006,Euro area (12 countries),Percentage of gross domestic product (GDP),External balance of goods and services,1.2
147,2006,Euro area (12 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,109.7
148,2006,Euro area (12 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,113.0
149,2006,Euro area (12 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,287.1
150,2006,Belgium,Million euro,Gross domestic product at market prices,318829.0
151,2006,Belgium,Million euro,Gross fixed capital formation,66710.0
152,2006,Belgium,Million euro,External balance of goods and services,12152.0
153,2006,Belgium,Euro per inhabitant,Gross domestic product at market prices,30200.0
154,2006,Belgium,Euro per inhabitant,Gross fixed capital formation,6300.0
155,2006,Belgium,Euro per inhabitant,External balance of goods and services,1200.0
156,2006,Belgium,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,27800.0
157,2006,Belgium,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5800.0
158,2006,Belgium,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1100.0
159,2006,Belgium,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
160,2006,Belgium,Percentage of gross domestic product (GDP),Gross fixed capital formation,20.9
161,2006,Belgium,Percentage of gross domestic product (GDP),External balance of goods and services,3.8
162,2006,Belgium,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,117.4
163,2006,Belgium,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,119.0
164,2006,Belgium,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,979.6
165,2006,Bulgaria,Million euro,Gross domestic product at market prices,26476.7
166,2006,Bulgaria,Million euro,Gross fixed capital formation,7310.3
167,2006,Bulgaria,Million euro,External balance of goods and services,-4656.4
168,2006,Bulgaria,Euro per inhabitant,Gross domestic product at market prices,3400.0
169,2006,Bulgaria,Euro per inhabitant,Gross fixed capital formation,900.0
170,2006,Bulgaria,Euro per inhabitant,External balance of goods and services,-600.0
171,2006,Bulgaria,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,9000.0
172,2006,Bulgaria,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,2500.0
173,2006,Bulgaria,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,-1600.0
174,2006,Bulgaria,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
175,2006,Bulgaria,Percentage of gross domestic product (GDP),Gross fixed capital formation,27.6
176,2006,Bulgaria,Percentage of gross domestic product (GDP),External balance of goods and services,-17.6
177,2006,Bulgaria,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,38.0
178,2006,Bulgaria,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,50.8
179,2006,Bulgaria,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,-1461.9
180,2006,Czech Republic,Million euro,Gross domestic product at market prices,118290.8
181,2006,Czech Republic,Million euro,Gross fixed capital formation,30349.2
182,2006,Czech Republic,Million euro,External balance of goods and services,3563.4
183,2006,Czech Republic,Euro per inhabitant,Gross domestic product at market prices,11500.0
184,2006,Czech Republic,Euro per inhabitant,Gross fixed capital formation,3000.0
185,2006,Czech Republic,Euro per inhabitant,External balance of goods and services,300.0
186,2006,Czech Republic,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,18900.0
187,2006,Czech Republic,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900.0
188,2006,Czech Republic,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,600.0
189,2006,Czech Republic,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
190,2006,Czech Republic,Percentage of gross domestic product (GDP),Gross fixed capital formation,25.7
191,2006,Czech Republic,Percentage of gross domestic product (GDP),External balance of goods and services,3.0
192,2006,Czech Republic,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,79.7
193,2006,Czech Republic,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,99.1
194,2006,Czech Republic,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,525.9
195,2006,Denmark,Million euro,Gross domestic product at market prices,218747.4
196,2006,Denmark,Million euro,Gross fixed capital formation,47373.4
197,2006,Denmark,Million euro,External balance of goods and services,6952.2
198,2006,Denmark,Euro per inhabitant,Gross domestic product at market prices,40200.0
199,2006,Denmark,Euro per inhabitant,Gross fixed capital formation,8700.0
200,2006,Denmark,Euro per inhabitant,External balance of goods and services,1300.0
201,2006,Denmark,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,29300.0
202,2006,Denmark,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,6300.0
203,2006,Denmark,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,900.0
204,2006,Denmark,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
205,2006,Denmark,Percentage of gross domestic product (GDP),Gross fixed capital formation,21.7
206,2006,Denmark,Percentage of gross domestic product (GDP),External balance of goods and services,3.2
207,2006,Denmark,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,123.5
208,2006,Denmark,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,129.6
209,2006,Denmark,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,859.7
210,2006,Germany (until 1990 former territory of the FRG),Million euro,Gross domestic product at market prices,2313900.0
211,2006,Germany (until 1990 former territory of the FRG),Million euro,Gross fixed capital formation,417820.0
212,2006,Germany (until 1990 former territory of the FRG),Million euro,External balance of goods and services,130050.0
213,2006,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Gross domestic product at market prices,28100.0
214,2006,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Gross fixed capital formation,5100.0
215,2006,Germany (until 1990 former territory of the FRG),Euro per inhabitant,External balance of goods and services,1600.0
216,2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,27300.0
217,2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900.0
218,2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1500.0
219,2006,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
220,2006,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),Gross fixed capital formation,18.1
221,2006,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),External balance of goods and services,5.6
222,2006,Germany (until 1990 former territory of the FRG),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,115.0
223,2006,Germany (until 1990 former territory of the FRG),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,100.6
224,2006,Germany (until 1990 former territory of the FRG),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,1415.0
225,2006,Estonia,Million euro,Gross domestic product at market prices,13396.2
226,2006,Estonia,Million euro,Gross fixed capital formation,4832.1
227,2006,Estonia,Million euro,External balance of goods and services,-1371.9
228,2006,Estonia,Euro per inhabitant,Gross domestic product at market prices,10000.0
229,2006,Estonia,Euro per inhabitant,Gross fixed capital formation,3600.0
230,2006,Estonia,Euro per inhabitant,External balance of goods and services,-1000.0
231,2006,Estonia,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,15600.0
232,2006,Estonia,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5600.0
233,2006,Estonia,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,-1600.0
234,2006,Estonia,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
235,2006,Estonia,Percentage of gross domestic product (GDP),Gross fixed capital formation,36.1
236,2006,Estonia,Percentage of gross domestic product (GDP),External balance of goods and services,-10.2
237,2006,Estonia,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,65.6
238,2006,Estonia,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,114.7
239,2006,Estonia,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,-1471.8
240,2006,Ireland,Million euro,Gross domestic product at market prices,177573.5
241,2006,Ireland,Million euro,Gross fixed capital formation,48328.7
242,2006,Ireland,Million euro,External balance of goods and services,17132.8
243,2006,Ireland,Euro per inhabitant,Gross domestic product at market prices,41600.0
244,2006,Ireland,Euro per inhabitant,Gross fixed capital formation,11300.0
245,2006,Ireland,Euro per inhabitant,External balance of goods and services,4000.0
246,2006,Ireland,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,34400.0
247,2006,Ireland,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,9300.0
248,2006,Ireland,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,3300.0
249,2006,Ireland,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
250,2006,Ireland,Percentage of gross domestic product (GDP),Gross fixed capital formation,27.2
251,2006,Ireland,Percentage of gross domestic product (GDP),External balance of goods and services,9.6
252,2006,Ireland,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,144.8
253,2006,Ireland,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,190.9
254,2006,Ireland,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,3059.7
255,2006,Greece,Million euro,Gross domestic product at market prices,208621.8
256,2006,Greece,Million euro,Gross fixed capital formation,47179.9
257,2006,Greece,Million euro,External balance of goods and services,-23865.9
258,2006,Greece,Euro per inhabitant,Gross domestic product at market prices,18700.0
259,2006,Greece,Euro per inhabitant,Gross fixed capital formation,4200.0
260,2006,Greece,Euro per inhabitant,External balance of goods and services,-2100.0
261,2006,Greece,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,21800.0
262,2006,Greece,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900.0
263,2006,Greece,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,-2500.0
264,2006,Greece,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
265,2006,Greece,Percentage of gross domestic product (GDP),Gross fixed capital formation,22.6
266,2006,Greece,Percentage of gross domestic product (GDP),External balance of goods and services,-11.4
267,2006,Greece,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,91.9
268,2006,Greece,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,100.7
269,2006,Greece,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,-2302.0
270,2006,Spain,Million euro,Gross domestic product at market prices,985547.0
271,2006,Spain,Million euro,Gross fixed capital formation,301263.0
272,2006,Spain,Million euro,External balance of goods and services,-62670.0
273,2006,Spain,Euro per inhabitant,Gross domestic product at market prices,22400.0
274,2006,Spain,Euro per inhabitant,Gross fixed capital formation,6800.0
275,2006,Spain,Euro per inhabitant,External balance of goods and services,-1400.0
276,2006,Spain,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,24800.0
277,2006,Spain,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,7600.0
278,2006,Spain,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,-1600.0
279,2006,Spain,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
280,2006,Spain,Percentage of gross domestic product (GDP),Gross fixed capital formation,30.6
281,2006,Spain,Percentage of gross domestic product (GDP),External balance of goods and services,-6.4
282,2006,Spain,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,104.0
283,2006,Spain,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,154.3
284,2006,Spain,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,-1450.8
285,2006,France,Million euro,Gross domestic product at market prices,1798115.3
286,2006,France,Million euro,Gross fixed capital formation,360376.1
287,2006,France,Million euro,External balance of goods and services,-18799.0
288,2006,France,Euro per inhabitant,Gross domestic product at market prices,28400.0
289,2006,France,Euro per inhabitant,Gross fixed capital formation,5700.0
290,2006,France,Euro per inhabitant,External balance of goods and services,-300.0
291,2006,France,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,25500.0
292,2006,France,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5100.0
293,2006,France,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,-300.0
294,2006,France,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
295,2006,France,Percentage of gross domestic product (GDP),Gross fixed capital formation,20.0
296,2006,France,Percentage of gross domestic product (GDP),External balance of goods and services,-1.0
297,2006,France,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,107.7
298,2006,France,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,104.5
299,2006,France,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,-246.5
300,2006,Croatia,Million euro,Gross domestic product at market prices,39734.6
301,2006,Croatia,Million euro,Gross fixed capital formation,10346.2
302,2006,Croatia,Million euro,External balance of goods and services,-2673.6
303,2006,Croatia,Euro per inhabitant,Gross domestic product at market prices,9200.0
304,2006,Croatia,Euro per inhabitant,Gross fixed capital formation,2400.0
305,2006,Croatia,Euro per inhabitant,External balance of goods and services,-600.0
306,2006,Croatia,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,14100.0
307,2006,Croatia,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,3700.0
308,2006,Croatia,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,-900.0
309,2006,Croatia,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
310,2006,Croatia,Percentage of gross domestic product (GDP),Gross fixed capital formation,26.0
