,TIME,GEO,UNIT,ISCED11,Value
181,2007,Belgium,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",65.2
182,2007,Belgium,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),37.1
183,2007,Belgium,Percentage,Tertiary education (levels 5-8),28.1
184,2007,Bulgaria,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",28.7
185,2007,Bulgaria,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",71.3
186,2007,Bulgaria,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.8
187,2007,Bulgaria,Percentage,Tertiary education (levels 5-8),18.5
188,2007,Czech Republic,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",16.2
189,2007,Czech Republic,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",83.8
190,2007,Czech Republic,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),72.2
191,2007,Czech Republic,Percentage,Tertiary education (levels 5-8),11.6
192,2007,Denmark,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.3
193,2007,Denmark,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.7
194,2007,Denmark,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.7
195,2007,Denmark,Percentage,Tertiary education (levels 5-8),26.0
196,2007,Germany (until 1990 former territory of the FRG),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",23.5
197,2007,Germany (until 1990 former territory of the FRG),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",76.5
198,2007,Germany (until 1990 former territory of the FRG),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),56.1
199,2007,Germany (until 1990 former territory of the FRG),Percentage,Tertiary education (levels 5-8),20.4
200,2007,Estonia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.0
201,2007,Estonia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",80.0
202,2007,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.5
203,2007,Estonia,Percentage,Tertiary education (levels 5-8),27.5
204,2007,Ireland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",34.1
205,2007,Ireland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",65.9
206,2007,Ireland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),37.0
207,2007,Ireland,Percentage,Tertiary education (levels 5-8),28.9
208,2007,Greece,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",40.8
209,2007,Greece,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",59.2
210,2007,Greece,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),40.1
211,2007,Greece,Percentage,Tertiary education (levels 5-8),19.1
212,2007,Spain,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",50.1
213,2007,Spain,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",49.9
214,2007,Spain,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),23.1
215,2007,Spain,Percentage,Tertiary education (levels 5-8),26.8
216,2007,France,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",34.0
217,2007,France,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.0
218,2007,France,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.6
219,2007,France,Percentage,Tertiary education (levels 5-8),24.4
220,2007,Croatia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.7
221,2007,Croatia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.3
222,2007,Croatia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),59.9
223,2007,Croatia,Percentage,Tertiary education (levels 5-8),13.4
224,2007,Italy,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",48.7
225,2007,Italy,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",51.3
226,2007,Italy,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.3
227,2007,Italy,Percentage,Tertiary education (levels 5-8),12.0
228,2007,Cyprus,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",31.1
229,2007,Cyprus,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",68.9
230,2007,Cyprus,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.1
231,2007,Cyprus,Percentage,Tertiary education (levels 5-8),29.7
232,2007,Latvia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",24.0
233,2007,Latvia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",76.0
234,2007,Latvia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),57.5
235,2007,Latvia,Percentage,Tertiary education (levels 5-8),18.5
236,2007,Lithuania,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",19.9
237,2007,Lithuania,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",80.1
238,2007,Lithuania,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),56.4
239,2007,Lithuania,Percentage,Tertiary education (levels 5-8),23.7
240,2007,Luxembourg,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",38.7
241,2007,Luxembourg,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",61.3
242,2007,Luxembourg,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),38.6
243,2007,Luxembourg,Percentage,Tertiary education (levels 5-8),22.7
244,2007,Hungary,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.3
245,2007,Hungary,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.7
246,2007,Hungary,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.3
247,2007,Hungary,Percentage,Tertiary education (levels 5-8),15.4
248,2007,Malta,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",67.3
249,2007,Malta,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",32.7
250,2007,Malta,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),21.0
251,2007,Malta,Percentage,Tertiary education (levels 5-8),11.7
252,2007,Netherlands,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",31.5
253,2007,Netherlands,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",68.5
254,2007,Netherlands,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.9
255,2007,Netherlands,Percentage,Tertiary education (levels 5-8),26.7
256,2007,Austria,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",25.4
257,2007,Austria,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",74.6
258,2007,Austria,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),60.0
259,2007,Austria,Percentage,Tertiary education (levels 5-8),14.6
260,2007,Poland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.4
261,2007,Poland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.6
262,2007,Poland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),63.9
263,2007,Poland,Percentage,Tertiary education (levels 5-8),15.7
264,2007,Portugal,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",71.4
265,2007,Portugal,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",28.6
266,2007,Portugal,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16.6
267,2007,Portugal,Percentage,Tertiary education (levels 5-8),12.0
268,2007,Romania,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",30.9
269,2007,Romania,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",69.1
270,2007,Romania,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),59.1
271,2007,Romania,Percentage,Tertiary education (levels 5-8),9.9
272,2007,Slovenia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",22.2
273,2007,Slovenia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",77.8
274,2007,Slovenia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),59.3
275,2007,Slovenia,Percentage,Tertiary education (levels 5-8),18.5
276,2007,Slovakia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",18.4
277,2007,Slovakia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",81.6
278,2007,Slovakia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),69.7
279,2007,Slovakia,Percentage,Tertiary education (levels 5-8),11.9
280,2007,Finland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",25.4
281,2007,Finland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",74.6
282,2007,Finland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),44.6
283,2007,Finland,Percentage,Tertiary education (levels 5-8),30.0
284,2007,Sweden,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.5
285,2007,Sweden,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.5
286,2007,Sweden,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),47.1
287,2007,Sweden,Percentage,Tertiary education (levels 5-8),26.4
288,2007,United Kingdom,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",27.0
289,2007,United Kingdom,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.0
290,2007,United Kingdom,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),44.3
291,2007,United Kingdom,Percentage,Tertiary education (levels 5-8),28.7
292,2007,Iceland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",42.8
293,2007,Iceland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",57.2
294,2007,Iceland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),32.4
295,2007,Iceland,Percentage,Tertiary education (levels 5-8),24.8
296,2007,Norway,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",29.3
297,2007,Norway,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",70.7
298,2007,Norway,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.5
299,2007,Norway,Percentage,Tertiary education (levels 5-8),29.2
300,2007,Switzerland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",21.1
301,2007,Switzerland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",78.9
302,2007,Switzerland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.3
303,2007,Switzerland,Percentage,Tertiary education (levels 5-8),26.5
