TIME,GEO,SEX,AGE,UNIT,ISCED11,Value,Flag and Footnotes
2006,Norway,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",29.3,b
2006,Norway,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",70.7,b
2006,Norway,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.4,b
2006,Norway,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),28.2,b
2006,Switzerland,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",21.9,
2006,Switzerland,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",78.1,
2006,Switzerland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.9,
2006,Switzerland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),25.2,
2006,"Former Yugoslav Republic of Macedonia, the",Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",44.0,
2006,"Former Yugoslav Republic of Macedonia, the",Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",56.0,
2006,"Former Yugoslav Republic of Macedonia, the",Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),45.4,
2006,"Former Yugoslav Republic of Macedonia, the",Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),10.6,
2006,Turkey,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",71.7,
2006,Turkey,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",28.3,
2006,Turkey,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),19.9,
2006,Turkey,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),8.4,
2007,European Union (28 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.9,
2007,European Union (28 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.1,
2007,European Union (28 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.6,
2007,European Union (28 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.5,
2007,European Union (27 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.9,
2007,European Union (27 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.1,
2007,European Union (27 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.5,
2007,European Union (27 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.6,
2007,European Union (15 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.5,
2007,European Union (15 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",64.5,
2007,European Union (15 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.2,
2007,European Union (15 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),22.3,
2007,Euro area (19 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.6,
2007,Euro area (19 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.4,
2007,Euro area (19 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.6,
2007,Euro area (19 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.8,
2007,Euro area (18 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.8,
2007,Euro area (18 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.2,
2007,Euro area (18 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.4,
2007,Euro area (18 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.8,
2007,Euro area (17 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.9,
2007,Euro area (17 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.1,
2007,Euro area (17 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.3,
2007,Euro area (17 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.8,
2007,Belgium,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",34.8,
2007,Belgium,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",65.2,
2007,Belgium,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),37.1,
2007,Belgium,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),28.1,
2007,Bulgaria,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",28.7,
2007,Bulgaria,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",71.3,
2007,Bulgaria,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.8,
2007,Bulgaria,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),18.5,
2007,Czech Republic,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",16.2,
2007,Czech Republic,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",83.8,
2007,Czech Republic,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),72.2,
2007,Czech Republic,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),11.6,
2007,Denmark,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.3,b
2007,Denmark,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.7,b
2007,Denmark,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.7,b
2007,Denmark,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),26.0,b
2007,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",23.5,
2007,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",76.5,
2007,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),56.1,
2007,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.4,
2007,Estonia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.0,
2007,Estonia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",80.0,
2007,Estonia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.5,
2007,Estonia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),27.5,
2007,Ireland,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",34.1,b
2007,Ireland,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",65.9,b
2007,Ireland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),37.0,b
2007,Ireland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),28.9,b
2007,Greece,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",40.8,
2007,Greece,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",59.2,
2007,Greece,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),40.1,
2007,Greece,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),19.1,
2007,Spain,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",50.1,
2007,Spain,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",49.9,
2007,Spain,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),23.1,
2007,Spain,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),26.8,
2007,France,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",34.0,
2007,France,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.0,
2007,France,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.6,
2007,France,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),24.4,
2007,Croatia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.7,
2007,Croatia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.3,
2007,Croatia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),59.9,
2007,Croatia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),13.4,
2007,Italy,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",48.7,
2007,Italy,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",51.3,
2007,Italy,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.3,
2007,Italy,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),12.0,
2007,Cyprus,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",31.1,
2007,Cyprus,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",68.9,
2007,Cyprus,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.1,
2007,Cyprus,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),29.7,
2007,Latvia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",24.0,
2007,Latvia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",76.0,
2007,Latvia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),57.5,
2007,Latvia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),18.5,
2007,Lithuania,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",19.9,
2007,Lithuania,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",80.1,
