TIME,GEO,UNIT,INDIC_NA,Value,Flag and Footnotes
2006,Euro area (15 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,,
2006,Euro area (15 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,,
2006,Euro area (13 countries),Million euro,Gross domestic product at market prices,,
2006,Euro area (13 countries),Million euro,Gross fixed capital formation,,
2006,Euro area (13 countries),Million euro,External balance of goods and services,,
2006,Euro area (13 countries),Euro per inhabitant,Gross domestic product at market prices,,
2006,Euro area (13 countries),Euro per inhabitant,Gross fixed capital formation,,
2006,Euro area (13 countries),Euro per inhabitant,External balance of goods and services,,
2006,Euro area (13 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,,
2006,Euro area (13 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,,
2006,Euro area (13 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,,
2006,Euro area (13 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,,
2006,Euro area (13 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,,
2006,Euro area (13 countries),Percentage of gross domestic product (GDP),External balance of goods and services,,
2006,Euro area (13 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,,
2006,Euro area (13 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,,
2006,Euro area (13 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,,
2006,Euro area (12 countries),Million euro,Gross domestic product at market prices,8455402.9,
2006,Euro area (12 countries),Million euro,Gross fixed capital formation,1797859.2,
2006,Euro area (12 countries),Million euro,External balance of goods and services,101047.2,
2006,Euro area (12 countries),Euro per inhabitant,Gross domestic product at market prices,26800,
2006,Euro area (12 countries),Euro per inhabitant,Gross fixed capital formation,5700,
2006,Euro area (12 countries),Euro per inhabitant,External balance of goods and services,300,
2006,Euro area (12 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,26000,
2006,Euro area (12 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5500,
2006,Euro area (12 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,300,
2006,Euro area (12 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Euro area (12 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,21.3,
2006,Euro area (12 countries),Percentage of gross domestic product (GDP),External balance of goods and services,1.2,
2006,Euro area (12 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,109.7,
2006,Euro area (12 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,113.0,
2006,Euro area (12 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,287.1,
2006,Belgium,Million euro,Gross domestic product at market prices,318829.0,
2006,Belgium,Million euro,Gross fixed capital formation,66710.0,
2006,Belgium,Million euro,External balance of goods and services,12152.0,
2006,Belgium,Euro per inhabitant,Gross domestic product at market prices,30200,
2006,Belgium,Euro per inhabitant,Gross fixed capital formation,6300,
2006,Belgium,Euro per inhabitant,External balance of goods and services,1200,
2006,Belgium,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,27800,
2006,Belgium,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5800,
2006,Belgium,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1100,
2006,Belgium,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Belgium,Percentage of gross domestic product (GDP),Gross fixed capital formation,20.9,
2006,Belgium,Percentage of gross domestic product (GDP),External balance of goods and services,3.8,
2006,Belgium,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,117.4,
2006,Belgium,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,119.0,
2006,Belgium,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,979.6,
2006,Bulgaria,Million euro,Gross domestic product at market prices,26476.7,
2006,Bulgaria,Million euro,Gross fixed capital formation,7310.3,
2006,Bulgaria,Million euro,External balance of goods and services,4656.4,
2006,Bulgaria,Euro per inhabitant,Gross domestic product at market prices,3400,
2006,Bulgaria,Euro per inhabitant,Gross fixed capital formation,900,
2006,Bulgaria,Euro per inhabitant,External balance of goods and services,600,
2006,Bulgaria,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,9000,
2006,Bulgaria,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,2500,
2006,Bulgaria,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1600,
2006,Bulgaria,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Bulgaria,Percentage of gross domestic product (GDP),Gross fixed capital formation,27.6,
2006,Bulgaria,Percentage of gross domestic product (GDP),External balance of goods and services,17.6,
2006,Bulgaria,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,38.0,
2006,Bulgaria,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,50.8,
2006,Bulgaria,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,1461.9,
2006,Czech Republic,Million euro,Gross domestic product at market prices,118290.8,
2006,Czech Republic,Million euro,Gross fixed capital formation,30349.2,
2006,Czech Republic,Million euro,External balance of goods and services,3563.4,
2006,Czech Republic,Euro per inhabitant,Gross domestic product at market prices,11500,
2006,Czech Republic,Euro per inhabitant,Gross fixed capital formation,3000,
2006,Czech Republic,Euro per inhabitant,External balance of goods and services,300,
2006,Czech Republic,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,18900,
2006,Czech Republic,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900,
2006,Czech Republic,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,600,
2006,Czech Republic,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Czech Republic,Percentage of gross domestic product (GDP),Gross fixed capital formation,25.7,
2006,Czech Republic,Percentage of gross domestic product (GDP),External balance of goods and services,3.0,
2006,Czech Republic,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,79.7,
2006,Czech Republic,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,99.1,
2006,Czech Republic,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,525.9,
2006,Denmark,Million euro,Gross domestic product at market prices,218747.4,
2006,Denmark,Million euro,Gross fixed capital formation,47373.4,
2006,Denmark,Million euro,External balance of goods and services,6952.2,
2006,Denmark,Euro per inhabitant,Gross domestic product at market prices,40200,
2006,Denmark,Euro per inhabitant,Gross fixed capital formation,8700,
2006,Denmark,Euro per inhabitant,External balance of goods and services,1300,
2006,Denmark,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,29300,
2006,Denmark,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,6300,
2006,Denmark,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,900,
2006,Denmark,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Denmark,Percentage of gross domestic product (GDP),Gross fixed capital formation,21.7,
2006,Denmark,Percentage of gross domestic product (GDP),External balance of goods and services,3.2,
2006,Denmark,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,123.5,
2006,Denmark,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,129.6,
2006,Denmark,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,859.7,
2006,Germany (until 1990 former territory of the FRG),Million euro,Gross domestic product at market prices,2313900.0,
2006,Germany (until 1990 former territory of the FRG),Million euro,Gross fixed capital formation,417820.0,
2006,Germany (until 1990 former territory of the FRG),Million euro,External balance of goods and services,130050.0,
2006,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Gross domestic product at market prices,28100,
2006,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Gross fixed capital formation,5100,
2006,Germany (until 1990 former territory of the FRG),Euro per inhabitant,External balance of goods and services,1600,
2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,27300,
2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900,
2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1500,
2006,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),Gross fixed capital formation,18.1,
2006,Germany (until 1990 former territory of the FRG),Percentage of gross domestic product (GDP),External balance of goods and services,5.6,
2006,Germany (until 1990 former territory of the FRG),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,115.0,
2006,Germany (until 1990 former territory of the FRG),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,100.6,
2006,Germany (until 1990 former territory of the FRG),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,1415.0,
2006,Estonia,Million euro,Gross domestic product at market prices,13396.2,
2006,Estonia,Million euro,Gross fixed capital formation,4832.1,
2006,Estonia,Million euro,External balance of goods and services,1371.9,
2006,Estonia,Euro per inhabitant,Gross domestic product at market prices,10000,
2006,Estonia,Euro per inhabitant,Gross fixed capital formation,3600,
2006,Estonia,Euro per inhabitant,External balance of goods and services,1000,
2006,Estonia,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,15600,
2006,Estonia,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5600,
2006,Estonia,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1600,
2006,Estonia,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Estonia,Percentage of gross domestic product (GDP),Gross fixed capital formation,36.1,
2006,Estonia,Percentage of gross domestic product (GDP),External balance of goods and services,10.2,
2006,Estonia,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,65.6,
2006,Estonia,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,114.7,
2006,Estonia,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,1471.8,
2006,Ireland,Million euro,Gross domestic product at market prices,177573.5,
2006,Ireland,Million euro,Gross fixed capital formation,48328.7,
2006,Ireland,Million euro,External balance of goods and services,17132.8,
2006,Ireland,Euro per inhabitant,Gross domestic product at market prices,41600,
2006,Ireland,Euro per inhabitant,Gross fixed capital formation,11300,
2006,Ireland,Euro per inhabitant,External balance of goods and services,4000,
2006,Ireland,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,34400,
2006,Ireland,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,9300,
2006,Ireland,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,3300,
2006,Ireland,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Ireland,Percentage of gross domestic product (GDP),Gross fixed capital formation,27.2,
2006,Ireland,Percentage of gross domestic product (GDP),External balance of goods and services,9.6,
2006,Ireland,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,144.8,
2006,Ireland,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,190.9,
2006,Ireland,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,3059.7,
2006,Greece,Million euro,Gross domestic product at market prices,208621.8,
2006,Greece,Million euro,Gross fixed capital formation,47179.9,
2006,Greece,Million euro,External balance of goods and services,23865.9,
2006,Greece,Euro per inhabitant,Gross domestic product at market prices,18700,
2006,Greece,Euro per inhabitant,Gross fixed capital formation,4200,
2006,Greece,Euro per inhabitant,External balance of goods and services,2100,
2006,Greece,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,21800,
2006,Greece,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900,
2006,Greece,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,2500,
2006,Greece,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Greece,Percentage of gross domestic product (GDP),Gross fixed capital formation,22.6,
2006,Greece,Percentage of gross domestic product (GDP),External balance of goods and services,11.4,
2006,Greece,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,91.9,
2006,Greece,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,100.7,
2006,Greece,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,2302.0,
2006,Spain,Million euro,Gross domestic product at market prices,985547.0,
2006,Spain,Million euro,Gross fixed capital formation,301263.0,
2006,Spain,Million euro,External balance of goods and services,62670.0,
2006,Spain,Euro per inhabitant,Gross domestic product at market prices,22400,
2006,Spain,Euro per inhabitant,Gross fixed capital formation,6800,
2006,Spain,Euro per inhabitant,External balance of goods and services,1400,
2006,Spain,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,24800,
2006,Spain,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,7600,
2006,Spain,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,1600,
2006,Spain,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Spain,Percentage of gross domestic product (GDP),Gross fixed capital formation,30.6,
2006,Spain,Percentage of gross domestic product (GDP),External balance of goods and services,6.4,
2006,Spain,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,104,
2006,Spain,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,154.3,
2006,Spain,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,1450.8,
2006,France,Million euro,Gross domestic product at market prices,1798115.3,
2006,France,Million euro,Gross fixed capital formation,360376.1,
2006,France,Million euro,External balance of goods and services,18799.0,
2006,France,Euro per inhabitant,Gross domestic product at market prices,28400,
2006,France,Euro per inhabitant,Gross fixed capital formation,5700,
2006,France,Euro per inhabitant,External balance of goods and services,300,
2006,France,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,25500,
2006,France,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5100,
2006,France,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,300,
2006,France,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,France,Percentage of gross domestic product (GDP),Gross fixed capital formation,20.0,
2006,France,Percentage of gross domestic product (GDP),External balance of goods and services,1.0,
2006,France,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,107.7,
2006,France,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,104.5,
2006,France,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,246.5,
2006,Croatia,Million euro,Gross domestic product at market prices,39734.6,
2006,Croatia,Million euro,Gross fixed capital formation,10346.2,
2006,Croatia,Million euro,External balance of goods and services,2673.6,
2006,Croatia,Euro per inhabitant,Gross domestic product at market prices,9200,
2006,Croatia,Euro per inhabitant,Gross fixed capital formation,2400,
2006,Croatia,Euro per inhabitant,External balance of goods and services,600,
2006,Croatia,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,14100,
2006,Croatia,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,3700,
2006,Croatia,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,900,
2006,Croatia,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
2006,Croatia,Percentage of gross domestic product (GDP),Gross fixed capital formation,26.0,
2006,Croatia,Percentage of gross domestic product (GDP),External balance of goods and services,6.7,
2006,Croatia,Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,59.3,
2006,Croatia,Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,74.8,
2006,Croatia,Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,874.0,
2006,Italy,Million euro,Gross domestic product at market prices,1493031.3,
2006,Italy,Million euro,Gross fixed capital formation,319061.9,
2006,Italy,Million euro,External balance of goods and services,12171.7,
2006,Italy,Euro per inhabitant,Gross domestic product at market prices,25300,
2006,Italy,Euro per inhabitant,Gross fixed capital formation,5400,
2006,Italy,Euro per inhabitant,External balance of goods and services,200,
2006,Italy,Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,24700,
2006,Italy,Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5300,
2006,Italy,Purchasing power standard (PPS) per inhabitant,External balance of goods and services,200,
2006,Italy,Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0,
