TIME,GEO,ICCS,UNIT,Value,Flag and Footnotes
2008,Denmark,Sexual violence,Per hundred thousand inhabitants,33.55,
2008,Denmark,Rape,Number,396,
2008,Denmark,Rape,Per hundred thousand inhabitants,7.23,
2008,Denmark,Sexual assault,Number,1441,
2008,Denmark,Sexual assault,Per hundred thousand inhabitants,26.32,
2008,Denmark,Theft,Number,208868,
2008,Denmark,Theft,Per hundred thousand inhabitants,3814.39,
2008,Germany (until 1990 former territory of the FRG),Intentional homicide,Number,656,
2008,Germany (until 1990 former territory of the FRG),Intentional homicide,Per hundred thousand inhabitants,0.80,
2008,Germany (until 1990 former territory of the FRG),Assault,Number,518499,
2008,Germany (until 1990 former territory of the FRG),Assault,Per hundred thousand inhabitants,630.64,
2008,Germany (until 1990 former territory of the FRG),Sexual violence,Number,56784,
2008,Germany (until 1990 former territory of the FRG),Sexual violence,Per hundred thousand inhabitants,69.07,
2008,Germany (until 1990 former territory of the FRG),Rape,Number,7292,
2008,Germany (until 1990 former territory of the FRG),Rape,Per hundred thousand inhabitants,8.87,
2008,Germany (until 1990 former territory of the FRG),Sexual assault,Number,49492,
2008,Germany (until 1990 former territory of the FRG),Sexual assault,Per hundred thousand inhabitants,60.20,
2008,Germany (until 1990 former territory of the FRG),Theft,Number,2052913,
2008,Germany (until 1990 former territory of the FRG),Theft,Per hundred thousand inhabitants,2496.92,
2008,Estonia,Intentional homicide,Number,84,
2008,Estonia,Intentional homicide,Per hundred thousand inhabitants,6.28,
2008,Estonia,Assault,Number,140,
2008,Estonia,Assault,Per hundred thousand inhabitants,10.46,
2008,Estonia,Sexual violence,Number,268,
2008,Estonia,Sexual violence,Per hundred thousand inhabitants,20.02,
2008,Estonia,Rape,Number,160,
2008,Estonia,Rape,Per hundred thousand inhabitants,11.95,
2008,Estonia,Sexual assault,Number,108,
2008,Estonia,Sexual assault,Per hundred thousand inhabitants,8.07,
2008,Estonia,Theft,Number,23506,
2008,Estonia,Theft,Per hundred thousand inhabitants,1756.22,
2008,Ireland,Intentional homicide,Number,89,
2008,Ireland,Intentional homicide,Per hundred thousand inhabitants,2.00,
2008,Ireland,Assault,Number,16186,
2008,Ireland,Assault,Per hundred thousand inhabitants,363.10,
2008,Ireland,Sexual violence,Number,1251,
2008,Ireland,Sexual violence,Per hundred thousand inhabitants,28.06,
2008,Ireland,Rape,Number,348,
2008,Ireland,Rape,Per hundred thousand inhabitants,7.81,
2008,Ireland,Sexual assault,Number,903,
2008,Ireland,Sexual assault,Per hundred thousand inhabitants,20.26,
2008,Ireland,Theft,Number,76861,
2008,Ireland,Theft,Per hundred thousand inhabitants,1724.20,
2008,Greece,Intentional homicide,Number,139,
2008,Greece,Intentional homicide,Per hundred thousand inhabitants,1.24,
2008,Greece,Assault,Number,8008,
2008,Greece,Assault,Per hundred thousand inhabitants,71.61,
2008,Greece,Sexual violence,Number,682,
2008,Greece,Sexual violence,Per hundred thousand inhabitants,6.10,
2008,Greece,Rape,Number,232,
2008,Greece,Rape,Per hundred thousand inhabitants,2.07,
2008,Greece,Sexual assault,Number,450,
2008,Greece,Sexual assault,Per hundred thousand inhabitants,4.02,
2008,Greece,Theft,Number,114900,
2008,Greece,Theft,Per hundred thousand inhabitants,1038.79,
2008,Spain,Intentional homicide,Number,407,
2008,Spain,Intentional homicide,Per hundred thousand inhabitants,0.89,
2008,Spain,Assault,Number,72803,
2008,Spain,Assault,Per hundred thousand inhabitants,159.41,
2008,Spain,Sexual violence,Number,10888,
2008,Spain,Sexual violence,Per hundred thousand inhabitants,23.84,
2008,Spain,Rape,Number,2437,
2008,Spain,Rape,Per hundred thousand inhabitants,5.34,
2008,Spain,Sexual assault,Number,8451,
2008,Spain,Sexual assault,Per hundred thousand inhabitants,18.50,
2008,Spain,Theft,Number,237525,
2008,Spain,Theft,Per hundred thousand inhabitants,520.10,
2008,France,Intentional homicide,Number,1021,
2008,France,Intentional homicide,Per hundred thousand inhabitants,1.60,
2008,France,Assault,Number,187937,
2008,France,Assault,Per hundred thousand inhabitants,293.62,
2008,France,Sexual violence,Number,24031,
2008,France,Sexual violence,Per hundred thousand inhabitants,37.54,
2008,France,Rape,Number,10277,
2008,France,Rape,Per hundred thousand inhabitants,16.06,
2008,France,Sexual assault,Number,13754,
2008,France,Sexual assault,Per hundred thousand inhabitants,21.49,
2008,France,Theft,Number,962583,
2008,France,Theft,Per hundred thousand inhabitants,1503.87,
2008,Croatia,Intentional homicide,Number,71,
2008,Croatia,Intentional homicide,Per hundred thousand inhabitants,1.65,
2008,Croatia,Assault,Number,1128,
2008,Croatia,Assault,Per hundred thousand inhabitants,26.16,
2008,Croatia,Sexual violence,Number,765,
2008,Croatia,Sexual violence,Per hundred thousand inhabitants,17.74,
2008,Croatia,Rape,Number,188,
2008,Croatia,Rape,Per hundred thousand inhabitants,4.36,
2008,Croatia,Sexual assault,Number,577,
2008,Croatia,Sexual assault,Per hundred thousand inhabitants,13.38,
2008,Croatia,Theft,Number,15300,
2008,Croatia,Theft,Per hundred thousand inhabitants,354.83,
2008,Italy,Intentional homicide,Number,615,
2008,Italy,Intentional homicide,Per hundred thousand inhabitants,1.05,
2008,Italy,Assault,Number,65791,
2008,Italy,Assault,Per hundred thousand inhabitants,112.17,
2008,Italy,Sexual violence,Number,,
2008,Italy,Sexual violence,Per hundred thousand inhabitants,,
2008,Italy,Rape,Number,,
2008,Italy,Rape,Per hundred thousand inhabitants,,
2008,Italy,Sexual assault,Number,4893,
2008,Italy,Sexual assault,Per hundred thousand inhabitants,8.34,
2008,Italy,Theft,Number,1223105,
2008,Italy,Theft,Per hundred thousand inhabitants,2085.33,
2008,Cyprus,Intentional homicide,Number,9,
2008,Cyprus,Intentional homicide,Per hundred thousand inhabitants,1.16,
2008,Cyprus,Assault,Number,167,
2008,Cyprus,Assault,Per hundred thousand inhabitants,21.51,
2008,Cyprus,Sexual violence,Number,97,
2008,Cyprus,Sexual violence,Per hundred thousand inhabitants,12.49,
2008,Cyprus,Rape,Number,34,
2008,Cyprus,Rape,Per hundred thousand inhabitants,4.38,
2008,Cyprus,Sexual assault,Number,63,
2008,Cyprus,Sexual assault,Per hundred thousand inhabitants,8.12,
2008,Cyprus,Theft,Number,3191,
2008,Cyprus,Theft,Per hundred thousand inhabitants,411.03,
2008,Latvia,Intentional homicide,Number,99,
2008,Latvia,Intentional homicide,Per hundred thousand inhabitants,4.52,
2008,Latvia,Assault,Number,1346,
2008,Latvia,Assault,Per hundred thousand inhabitants,61.41,
2008,Latvia,Sexual violence,Number,,
2008,Latvia,Sexual violence,Per hundred thousand inhabitants,,
2008,Latvia,Rape,Number,100,
2008,Latvia,Rape,Per hundred thousand inhabitants,4.56,
2008,Latvia,Sexual assault,Number,,
2008,Latvia,Sexual assault,Per hundred thousand inhabitants,,
2008,Latvia,Theft,Number,25844,
2008,Latvia,Theft,Per hundred thousand inhabitants,1179.12,
2008,Lithuania,Intentional homicide,Number,286,
2008,Lithuania,Intentional homicide,Per hundred thousand inhabitants,8.90,
2008,Lithuania,Assault,Number,251,
2008,Lithuania,Assault,Per hundred thousand inhabitants,7.81,
2008,Lithuania,Sexual violence,Number,368,
2008,Lithuania,Sexual violence,Per hundred thousand inhabitants,11.45,
2008,Lithuania,Rape,Number,164,
2008,Lithuania,Rape,Per hundred thousand inhabitants,5.10,
2008,Lithuania,Sexual assault,Number,204,
2008,Lithuania,Sexual assault,Per hundred thousand inhabitants,6.35,
2008,Lithuania,Theft,Number,29610,
2008,Lithuania,Theft,Per hundred thousand inhabitants,921.68,
2008,Luxembourg,Intentional homicide,Number,7,
2008,Luxembourg,Intentional homicide,Per hundred thousand inhabitants,1.45,
2008,Luxembourg,Assault,Number,2317,
2008,Luxembourg,Assault,Per hundred thousand inhabitants,478.92,
2008,Luxembourg,Sexual violence,Number,,
2008,Luxembourg,Sexual violence,Per hundred thousand inhabitants,,
2008,Luxembourg,Rape,Number,57,
2008,Luxembourg,Rape,Per hundred thousand inhabitants,11.78,
2008,Luxembourg,Sexual assault,Number,,
2008,Luxembourg,Sexual assault,Per hundred thousand inhabitants,,
2008,Luxembourg,Theft,Number,7021,
2008,Luxembourg,Theft,Per hundred thousand inhabitants,1451.22,
2008,Hungary,Intentional homicide,Number,147,
2008,Hungary,Intentional homicide,Per hundred thousand inhabitants,1.46,
2008,Hungary,Assault,Number,12757,
2008,Hungary,Assault,Per hundred thousand inhabitants,126.99,
2008,Hungary,Sexual violence,Number,464,
2008,Hungary,Sexual violence,Per hundred thousand inhabitants,4.62,
2008,Hungary,Rape,Number,214,
2008,Hungary,Rape,Per hundred thousand inhabitants,2.13,
2008,Hungary,Sexual assault,Number,250,
2008,Hungary,Sexual assault,Per hundred thousand inhabitants,2.49,
2008,Hungary,Theft,Number,127125,
2008,Hungary,Theft,Per hundred thousand inhabitants,1265.50,
2008,Malta,Intentional homicide,Number,6,
2008,Malta,Intentional homicide,Per hundred thousand inhabitants,1.47,
2008,Malta,Assault,Number,196,
2008,Malta,Assault,Per hundred thousand inhabitants,48.06,
2008,Malta,Sexual violence,Number,80,
2008,Malta,Sexual violence,Per hundred thousand inhabitants,19.62,
2008,Malta,Rape,Number,19,
2008,Malta,Rape,Per hundred thousand inhabitants,4.66,
2008,Malta,Sexual assault,Number,61,
2008,Malta,Sexual assault,Per hundred thousand inhabitants,14.96,
2008,Malta,Theft,Number,8525,
2008,Malta,Theft,Per hundred thousand inhabitants,2090.32,
2008,Netherlands,Intentional homicide,Number,150,
2008,Netherlands,Intentional homicide,Per hundred thousand inhabitants,0.91,
2008,Netherlands,Assault,Number,69005,
2008,Netherlands,Assault,Per hundred thousand inhabitants,420.62,
2008,Netherlands,Sexual violence,Number,10495,
2008,Netherlands,Sexual violence,Per hundred thousand inhabitants,63.97,
2008,Netherlands,Rape,Number,1945,
2008,Netherlands,Rape,Per hundred thousand inhabitants,11.86,
2008,Netherlands,Sexual assault,Number,8550,
2008,Netherlands,Sexual assault,Per hundred thousand inhabitants,52.12,
2008,Netherlands,Theft,Number,704160,
2008,Netherlands,Theft,Per hundred thousand inhabitants,4292.25,
2008,Austria,Intentional homicide,Number,58,
2008,Austria,Intentional homicide,Per hundred thousand inhabitants,0.70,
2008,Austria,Assault,Number,3945,
2008,Austria,Assault,Per hundred thousand inhabitants,47.48,
2008,Austria,Sexual violence,Number,4185,
2008,Austria,Sexual violence,Per hundred thousand inhabitants,50.37,
2008,Austria,Rape,Number,693,
2008,Austria,Rape,Per hundred thousand inhabitants,8.34,
2008,Austria,Sexual assault,Number,3492,
2008,Austria,Sexual assault,Per hundred thousand inhabitants,42.03,
2008,Austria,Theft,Number,174008,
2008,Austria,Theft,Per hundred thousand inhabitants,2094.47,
2008,Poland,Intentional homicide,Number,460,
2008,Poland,Intentional homicide,Per hundred thousand inhabitants,1.21,
2008,Poland,Assault,Number,,
2008,Poland,Assault,Per hundred thousand inhabitants,,
2008,Poland,Sexual violence,Number,,
2008,Poland,Sexual violence,Per hundred thousand inhabitants,,
2008,Poland,Rape,Number,1611,
2008,Poland,Rape,Per hundred thousand inhabitants,4.23,
2008,Poland,Sexual assault,Number,,
2008,Poland,Sexual assault,Per hundred thousand inhabitants,,
2008,Poland,Theft,Number,214414,
2008,Poland,Theft,Per hundred thousand inhabitants,562.54,
2008,Portugal,Intentional homicide,Number,124,
2008,Portugal,Intentional homicide,Per hundred thousand inhabitants,1.17,
2008,Portugal,Assault,Number,33494,
2008,Portugal,Assault,Per hundred thousand inhabitants,317.38,
2008,Portugal,Sexual violence,Number,2251,
2008,Portugal,Sexual violence,Per hundred thousand inhabitants,21.33,
2008,Portugal,Rape,Number,314,
2008,Portugal,Rape,Per hundred thousand inhabitants,2.98,
2008,Portugal,Sexual assault,Number,1937,
2008,Portugal,Sexual assault,Per hundred thousand inhabitants,18.35,
2008,Portugal,Theft,Number,126956,
2008,Portugal,Theft,Per hundred thousand inhabitants,1202.99,
2008,Romania,Intentional homicide,Number,470,
2008,Romania,Intentional homicide,Per hundred thousand inhabitants,2.28,
2008,Romania,Assault,Number,9457,
2008,Romania,Assault,Per hundred thousand inhabitants,45.83,
2008,Romania,Sexual violence,Number,1566,
2008,Romania,Sexual violence,Per hundred thousand inhabitants,7.59,
2008,Romania,Rape,Number,1016,
2008,Romania,Rape,Per hundred thousand inhabitants,4.92,
2008,Romania,Sexual assault,Number,550,
2008,Romania,Sexual assault,Per hundred thousand inhabitants,2.67,
2008,Romania,Theft,Number,41874,
2008,Romania,Theft,Per hundred thousand inhabitants,202.92,
2008,Slovenia,Intentional homicide,Number,11,
2008,Slovenia,Intentional homicide,Per hundred thousand inhabitants,0.55,
2008,Slovenia,Assault,Number,2135,
2008,Slovenia,Assault,Per hundred thousand inhabitants,106.20,
2008,Slovenia,Sexual violence,Number,383,
2008,Slovenia,Sexual violence,Per hundred thousand inhabitants,19.05,
2008,Slovenia,Rape,Number,57,
2008,Slovenia,Rape,Per hundred thousand inhabitants,2.84,
2008,Slovenia,Sexual assault,Number,326,
2008,Slovenia,Sexual assault,Per hundred thousand inhabitants,16.22,
2008,Slovenia,Theft,Number,28765,
2008,Slovenia,Theft,Per hundred thousand inhabitants,1430.90,
2008,Slovakia,Intentional homicide,Number,94,
2008,Slovakia,Intentional homicide,Per hundred thousand inhabitants,1.75,
2008,Slovakia,Assault,Number,2702,
2008,Slovakia,Assault,Per hundred thousand inhabitants,50.26,
2008,Slovakia,Sexual violence,Number,,
2008,Slovakia,Sexual violence,Per hundred thousand inhabitants,,
2008,Slovakia,Rape,Number,152,
2008,Slovakia,Rape,Per hundred thousand inhabitants,2.83,
2008,Slovakia,Sexual assault,Number,,
2008,Slovakia,Sexual assault,Per hundred thousand inhabitants,,
2008,Slovakia,Theft,Number,33743,
2008,Slovakia,Theft,Per hundred thousand inhabitants,627.65,
2008,Finland,Intentional homicide,Number,133,
2008,Finland,Intentional homicide,Per hundred thousand inhabitants,2.51,
2008,Finland,Assault,Number,34778,
2008,Finland,Assault,Per hundred thousand inhabitants,656.13,
2008,Finland,Sexual violence,Number,1585,
2008,Finland,Sexual violence,Per hundred thousand inhabitants,29.90,
2008,Finland,Rape,Number,915,
2008,Finland,Rape,Per hundred thousand inhabitants,17.26,
2008,Finland,Sexual assault,Number,670,
2008,Finland,Sexual assault,Per hundred thousand inhabitants,12.64,
2008,Finland,Theft,Number,134018,
2008,Finland,Theft,Per hundred thousand inhabitants,2528.41,
2008,Sweden,Intentional homicide,Number,82,
2008,Sweden,Intentional homicide,Per hundred thousand inhabitants,0.89,
2008,Sweden,Assault,Number,84566,
2008,Sweden,Assault,Per hundred thousand inhabitants,920.90,
2008,Sweden,Sexual violence,Number,14058,
2008,Sweden,Sexual violence,Per hundred thousand inhabitants,153.09,
2008,Sweden,Rape,Number,4901,
2008,Sweden,Rape,Per hundred thousand inhabitants,53.37,
2008,Sweden,Sexual assault,Number,9157,
2008,Sweden,Sexual assault,Per hundred thousand inhabitants,99.72,
2008,Sweden,Theft,Number,436446,
2008,Sweden,Theft,Per hundred thousand inhabitants,4752.80,
2008,England and Wales,Intentional homicide,Number,638,
2008,England and Wales,Intentional homicide,Per hundred thousand inhabitants,1.17,
2008,England and Wales,Assault,Number,419119,
2008,England and Wales,Assault,Per hundred thousand inhabitants,767.40,
2008,England and Wales,Sexual violence,Number,35310,
2008,England and Wales,Sexual violence,Per hundred thousand inhabitants,64.65,
2008,England and Wales,Rape,Number,13096,
2008,England and Wales,Rape,Per hundred thousand inhabitants,23.98,
2008,England and Wales,Sexual assault,Number,22214,
2008,England and Wales,Sexual assault,Per hundred thousand inhabitants,40.67,
2008,England and Wales,Theft,Number,1592758,
2008,England and Wales,Theft,Per hundred thousand inhabitants,2916.32,
2008,Scotland,Intentional homicide,Number,95,
2008,Scotland,Intentional homicide,Per hundred thousand inhabitants,1.83,
2008,Scotland,Assault,Number,79892,
2008,Scotland,Assault,Per hundred thousand inhabitants,1540.54,
2008,Scotland,Sexual violence,Number,4118,
2008,Scotland,Sexual violence,Per hundred thousand inhabitants,79.41,
2008,Scotland,Rape,Number,821,
2008,Scotland,Rape,Per hundred thousand inhabitants,15.83,
2008,Scotland,Sexual assault,Number,3297,
2008,Scotland,Sexual assault,Per hundred thousand inhabitants,63.58,
2008,Scotland,Theft,Number,117033,
2008,Scotland,Theft,Per hundred thousand inhabitants,2256.72,
2008,Northern Ireland (UK),Intentional homicide,Number,24,
2008,Northern Ireland (UK),Intentional homicide,Per hundred thousand inhabitants,1.36,
2008,Northern Ireland (UK),Assault,Number,1549,
2008,Northern Ireland (UK),Assault,Per hundred thousand inhabitants,87.50,
2008,Northern Ireland (UK),Sexual violence,Number,1777,
2008,Northern Ireland (UK),Sexual violence,Per hundred thousand inhabitants,100.37,
2008,Northern Ireland (UK),Rape,Number,368,
2008,Northern Ireland (UK),Rape,Per hundred thousand inhabitants,20.79,
2008,Northern Ireland (UK),Sexual assault,Number,1409,
2008,Northern Ireland (UK),Sexual assault,Per hundred thousand inhabitants,79.59,
2008,Northern Ireland (UK),Theft,Number,24380,
2008,Northern Ireland (UK),Theft,Per hundred thousand inhabitants,1377.12,
2008,Iceland,Intentional homicide,Number,0,
2008,Iceland,Intentional homicide,Per hundred thousand inhabitants,0.00,
2008,Iceland,Assault,Number,77,
2008,Iceland,Assault,Per hundred thousand inhabitants,24.41,
2008,Iceland,Sexual violence,Number,,
2008,Iceland,Sexual violence,Per hundred thousand inhabitants,,
2008,Iceland,Rape,Number,68,
2008,Iceland,Rape,Per hundred thousand inhabitants,21.56,
2008,Iceland,Sexual assault,Number,,
2008,Iceland,Sexual assault,Per hundred thousand inhabitants,,
2008,Iceland,Theft,Number,4718,
2008,Iceland,Theft,Per hundred thousand inhabitants,1495.60,
2008,Liechtenstein,Intentional homicide,Number,1,
2008,Liechtenstein,Intentional homicide,Per hundred thousand inhabitants,2.83,
2008,Liechtenstein,Assault,Number,88,
2008,Liechtenstein,Assault,Per hundred thousand inhabitants,248.90,
2008,Liechtenstein,Sexual violence,Number,,
2008,Liechtenstein,Sexual violence,Per hundred thousand inhabitants,,
2008,Liechtenstein,Rape,Number,3,
2008,Liechtenstein,Rape,Per hundred thousand inhabitants,8.49,
2008,Liechtenstein,Sexual assault,Number,,
2008,Liechtenstein,Sexual assault,Per hundred thousand inhabitants,,
2008,Liechtenstein,Theft,Number,178,
2008,Liechtenstein,Theft,Per hundred thousand inhabitants,503.45,
2008,Norway,Intentional homicide,Number,34,
2008,Norway,Intentional homicide,Per hundred thousand inhabitants,0.72,
2008,Norway,Assault,Number,3279,
2008,Norway,Assault,Per hundred thousand inhabitants,69.22,
2008,Norway,Sexual violence,Number,2296,
2008,Norway,Sexual violence,Per hundred thousand inhabitants,48.47,
2008,Norway,Rape,Number,944,
2008,Norway,Rape,Per hundred thousand inhabitants,19.93,
2008,Norway,Sexual assault,Number,1352,
2008,Norway,Sexual assault,Per hundred thousand inhabitants,28.54,
2008,Norway,Theft,Number,138083,
2008,Norway,Theft,Per hundred thousand inhabitants,2914.88,
2008,Switzerland,Intentional homicide,Number,54,
2008,Switzerland,Intentional homicide,Per hundred thousand inhabitants,0.71,
2008,Switzerland,Assault,Number,8893,
2008,Switzerland,Assault,Per hundred thousand inhabitants,117.11,
2008,Switzerland,Sexual violence,Number,,
2008,Switzerland,Sexual violence,Per hundred thousand inhabitants,,
2008,Switzerland,Rape,Number,612,
2008,Switzerland,Rape,Per hundred thousand inhabitants,8.06,
2008,Switzerland,Sexual assault,Number,,
2008,Switzerland,Sexual assault,Per hundred thousand inhabitants,,
2008,Switzerland,Theft,Number,120817,
2008,Switzerland,Theft,Per hundred thousand inhabitants,1591.06,
2008,Montenegro,Intentional homicide,Number,22,
2008,Montenegro,Intentional homicide,Per hundred thousand inhabitants,3.57,
2008,Montenegro,Assault,Number,196,
2008,Montenegro,Assault,Per hundred thousand inhabitants,31.84,
2008,Montenegro,Sexual violence,Number,40,
2008,Montenegro,Sexual violence,Per hundred thousand inhabitants,6.50,
2008,Montenegro,Rape,Number,17,
2008,Montenegro,Rape,Per hundred thousand inhabitants,2.76,
2008,Montenegro,Sexual assault,Number,23,
2008,Montenegro,Sexual assault,Per hundred thousand inhabitants,3.74,
2008,Montenegro,Theft,Number,794,
2008,Montenegro,Theft,Per hundred thousand inhabitants,128.99,
2008,"Former Yugoslav Republic of Macedonia, the",Intentional homicide,Number,35,
2008,"Former Yugoslav Republic of Macedonia, the",Intentional homicide,Per hundred thousand inhabitants,1.71,
2008,"Former Yugoslav Republic of Macedonia, the",Assault,Number,213,
2008,"Former Yugoslav Republic of Macedonia, the",Assault,Per hundred thousand inhabitants,10.41,
2008,"Former Yugoslav Republic of Macedonia, the",Sexual violence,Number,,
2008,"Former Yugoslav Republic of Macedonia, the",Sexual violence,Per hundred thousand inhabitants,,
2008,"Former Yugoslav Republic of Macedonia, the",Rape,Number,41,
2008,"Former Yugoslav Republic of Macedonia, the",Rape,Per hundred thousand inhabitants,2.00,
2008,"Former Yugoslav Republic of Macedonia, the",Sexual assault,Number,,
2008,"Former Yugoslav Republic of Macedonia, the",Sexual assault,Per hundred thousand inhabitants,,
2008,"Former Yugoslav Republic of Macedonia, the",Theft,Number,6627,
2008,"Former Yugoslav Republic of Macedonia, the",Theft,Per hundred thousand inhabitants,324.03,
2008,Albania,Intentional homicide,Number,88,
2008,Albania,Intentional homicide,Per hundred thousand inhabitants,2.78,
2008,Albania,Assault,Number,363,
2008,Albania,Assault,Per hundred thousand inhabitants,11.45,
2008,Albania,Sexual violence,Number,57,
2008,Albania,Sexual violence,Per hundred thousand inhabitants,1.80,
2008,Albania,Rape,Number,39,
2008,Albania,Rape,Per hundred thousand inhabitants,1.23,
2008,Albania,Sexual assault,Number,18,
2008,Albania,Sexual assault,Per hundred thousand inhabitants,0.57,
2008,Albania,Theft,Number,3596,
2008,Albania,Theft,Per hundred thousand inhabitants,100.88,
2008,Serbia,Intentional homicide,Number,128,
2008,Serbia,Intentional homicide,Per hundred thousand inhabitants,1.74,
2008,Serbia,Assault,Number,1582,
2008,Serbia,Assault,Per hundred thousand inhabitants,21.48,
2008,Serbia,Sexual violence,Number,400,
2008,Serbia,Sexual violence,Per hundred thousand inhabitants,5.43,
2008,Serbia,Rape,Number,123,
2008,Serbia,Rape,Per hundred thousand inhabitants,1.67,
2008,Serbia,Sexual assault,Number,277,
2008,Serbia,Sexual assault,Per hundred thousand inhabitants,3.76,
2008,Serbia,Theft,Number,19863,
2008,Serbia,Theft,Per hundred thousand inhabitants,269.68,
2008,Turkey,Intentional homicide,Number,,
2008,Turkey,Intentional homicide,Per hundred thousand inhabitants,,
2008,Turkey,Assault,Number,,
2008,Turkey,Assault,Per hundred thousand inhabitants,,
2008,Turkey,Sexual violence,Number,,
2008,Turkey,Sexual violence,Per hundred thousand inhabitants,,
2008,Turkey,Rape,Number,,
2008,Turkey,Rape,Per hundred thousand inhabitants,,
2008,Turkey,Sexual assault,Number,,
2008,Turkey,Sexual assault,Per hundred thousand inhabitants,,
2008,Turkey,Theft,Number,,
2008,Turkey,Theft,Per hundred thousand inhabitants,,
2008,Bosnia and Herzegovina,Intentional homicide,Number,66,
2008,Bosnia and Herzegovina,Intentional homicide,Per hundred thousand inhabitants,1.72,
2008,Bosnia and Herzegovina,Assault,Number,1474,
2008,Bosnia and Herzegovina,Assault,Per hundred thousand inhabitants,38.35,
2008,Bosnia and Herzegovina,Sexual violence,Number,,
2008,Bosnia and Herzegovina,Sexual violence,Per hundred thousand inhabitants,,
2008,Bosnia and Herzegovina,Rape,Number,35,
2008,Bosnia and Herzegovina,Rape,Per hundred thousand inhabitants,0.91,
2008,Bosnia and Herzegovina,Sexual assault,Number,,
2008,Bosnia and Herzegovina,Sexual assault,Per hundred thousand inhabitants,,
2008,Bosnia and Herzegovina,Theft,Number,8180,
2008,Bosnia and Herzegovina,Theft,Per hundred thousand inhabitants,212.81,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Intentional homicide,Number,113,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Intentional homicide,Per hundred thousand inhabitants,5.25,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Assault,Number,3376,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Assault,Per hundred thousand inhabitants,156.79,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Sexual violence,Number,161,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Sexual violence,Per hundred thousand inhabitants,7.48,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Rape,Number,50,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Rape,Per hundred thousand inhabitants,2.32,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Sexual assault,Number,111,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Sexual assault,Per hundred thousand inhabitants,5.16,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Theft,Number,15466,
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Theft,Per hundred thousand inhabitants,718.30,
2009,Belgium,Intentional homicide,Number,189,
2009,Belgium,Intentional homicide,Per hundred thousand inhabitants,1.76,
2009,Belgium,Assault,Number,77665,
2009,Belgium,Assault,Per hundred thousand inhabitants,722.26,
2009,Belgium,Sexual violence,Number,10609,
2009,Belgium,Sexual violence,Per hundred thousand inhabitants,98.66,
2009,Belgium,Rape,Number,3152,
2009,Belgium,Rape,Per hundred thousand inhabitants,29.31,
