Minimum wages,,,,,,,,,,,,,,,,,,,,,,,,
EUR/month,,,,,,,,,,,,,,,,,,,,,,,,
geo\time,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,
Norway,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Switzerland,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,288.05,,288.05,
"Former Yugoslav Republic of Macedonia, the",:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,,199.48,,213.62,,213.72,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,156.92,,156.99,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,239.24,,235.31,,235.05,
Turkey,238.77,,266.15,,333.46,,301.77,,354.34,,309.94,,338.33,,384.89,,362.84,,415.52,,361.76,,424.26,
United States,706.79,,655.36,,756.69,,677.81,,688.81,,815.79,,872.32,,940.48,,971.22,,952.46,,911.22,,1035.06,
:=not available z=not applicable ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,24.11.2016,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,25 Nov 2016 11:32:56 CET,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tps00155,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm,,,,,,,,,,,,,,,,,,,,,,,
Short Description:,"Minimum wage statistics published by Eurostat refer to monthly national minimum wages. The data shown here apply to the situation on 1st of January each year. In some countries the basic national minimum wage is not fixed at a monthly rate but at an hourly or weekly rate. For these countries the hourly or weekly rates are converted into monthly rates. The national minimum wage is enforced by law, often after consultation with the social partners, or directly by national intersectoral agreement (this is the case in Belgium and Greece). The national minimum wage usually applies to all employees, or at least to a large majority of employees in the country. Minimum wages are gross amounts, that is, before deduction of income tax and social security contributions. Such deductions vary from country to country.",,,,,,,,,,,,,,,,,,,,,,,
Code:,tps00155,,,,,,,,,,,,,,,,,,,,,,,
